time,lat,lon,NO2,name,Shrubs_3000,Shrubs_6000,Shrubs_9000,Herbaceous_vegetation_3000,Herbaceous_vegetation_6000,Herbaceous_vegetation_9000,Cultivated_and_managed_vegetation/agriculture_3000,Cultivated_and_managed_vegetation/agriculture_6000,Cultivated_and_managed_vegetation/agriculture_9000,Urban/built_up_3000,Urban/built_up_6000,Urban/built_up_9000,Bare/sparse_vegetation_3000,Bare/sparse_vegetation_6000,Bare/sparse_vegetation_9000,Snow_and_ice_3000,Snow_and_ice_6000,Snow_and_ice_9000,Permanent_water_bodies_3000,Permanent_water_bodies_6000,Permanent_water_bodies_9000,Herbaceous_wetland_3000,Herbaceous_wetland_6000,Herbaceous_wetland_9000,Moss_and_lichen_3000,Moss_and_lichen_6000,Moss_and_lichen_9000,Close_forest_3000,Close_forest_6000,Close_forest_9000,Open_forest_3000,Open_forest_6000,Open_forest_9000,"Oceans,seas_3000","Oceans,seas_6000","Oceans,seas_9000",NDVI_3000,NDVI_6000,NDVI_9000,S5P_NO2_3000,S5P_NO2_6000,S5P_NO2_9000,temperature_3000,temperature_6000,temperature_9000,wind_speed_3000,wind_speed_6000,wind_speed_9000,relative_humidity_3000,relative_humidity_6000,relative_humidity_9000,pressure_3000,pressure_6000,pressure_9000,planetary_boundary_layer_height[pblh]_3000,planetary_boundary_layer_height[pblh]_6000,planetary_boundary_layer_height[pblh]_9000,dewpoint_temperature_(dpt)_3000,dewpoint_temperature_(dpt)_6000,dewpoint_temperature_(dpt)_9000,road_density_3000,road_density_6000,road_density_9000,population_density_3000,population_density_6000,population_density_9000
1/1/2019,21.0491,105.8831,,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,2.182188090404935e-05,2.182188090404491e-05,2.1821880904040288e-05,11.075550291273329,11.100268096919171,11.107976134918744,3.631308078765869,3.5634837245964444,3.569114081714806,66.60816701253255,66.6083779907599,66.68162443199937,102797.66493050258,102794.27093748092,102794.83976397222,560.4765760646098,559.4522241209447,557.8350506213551,4.722947916656267,4.761801249998388,4.804577168368269,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/2/2019,21.0491,105.8831,,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,2.307633127740516e-05,2.307633127740516e-05,2.3454473746053576e-05,12.105141957600912,12.112090988140553,12.106122912178577,3.631308078765869,3.5634837245964444,3.569114081714806,65.45949045817058,65.37753601077944,65.35031299201809,102702.13715288375,102698.070625,102698.11176659136,560.4765760646098,559.4522241209447,557.8350506213551,7.789520833343785,7.800427500009537,7.796860969392583,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/3/2019,21.0491,105.8831,41.3104,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.543397040825055e-05,1.5433970408249565e-05,1.5433970408253824e-05,13.01008510588306,13.047860565162264,13.067380360187487,2.888883378777084,2.884132757197367,2.879110419029864,69.25161234532587,69.04566802978516,68.8592599362648,102456.07812505298,102451.92749996185,102452.32605225699,316.24272325283124,323.059277343899,334.6207225566388,9.141777777772708,8.949080000005196,8.838265306119123,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/4/2019,21.0491,105.8831,39.37920417,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.5277769806044796e-05,1.527776980604134e-05,1.527776980603246e-05,15.498522546569196,15.535318069467321,15.536327984868263,2.888883378777084,2.884132757197367,2.879110419029864,78.70481194395364,78.38730010986328,78.26349577609906,102183.5503470103,102179.53062494278,102179.94451530612,188.64352077907986,216.76363220214844,232.6027947252198,11.897893518519899,11.87960166666424,11.857449829937545,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/5/2019,21.0491,105.8831,39.90187917,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.772562783825599e-05,1.7725627838296455e-05,1.7725627838312132e-05,17.66126717458893,17.6593762969831,17.665115551077477,1.4602485497760225,1.5298113679897505,1.5727371196357571,75.88091362852396,75.79444915778934,75.8049635595775,102074.9045138359,102071.1334375763,102071.69913905981,290.3299424925612,294.7663366705924,296.9984068583545,11.874305555506403,11.914229999976232,11.92287244897678,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/6/2019,21.0491,105.8831,30.00824583,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.8969775553712154e-05,1.8969775553689948e-05,1.8969775553712154e-05,17.66126717458893,17.6593762969831,17.665115551077477,1.4602485497760225,1.5298113679897505,1.5727371196357571,71.63033294677734,71.38990112295375,71.29598127084081,102074.9045138359,102071.1334375763,102071.69913905981,273.32804701084063,270.78753662109375,269.3579562441351,9.85727083336355,9.888817500006407,9.873468112252766,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/7/2019,21.0491,105.8831,38.8811625,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.8603393087901487e-05,1.860339308787928e-05,1.8603393087885628e-05,19.093529383341473,19.098650741567834,19.091900961746802,3.4532380634013355,3.4068505764065775,3.40061056371113,71.63033294677734,71.38990112295375,71.29598127084081,102074.9045138359,102071.1334375763,102071.69913905981,405.6614142525941,413.5146655275673,415.2540270747731,13.722358796344553,13.686995833336065,13.688688350340104,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/8/2019,21.0491,105.8831,23.5602625,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,1.6971204905081984e-05,1.6971204905065206e-05,1.6971204905060585e-05,19.093529383341473,19.098650741567834,19.091900961746802,4.365645832498558,4.39296184540377,4.439434946806892,74.35508897559096,74.3062216186151,74.3037280646932,102166.18402777778,102162.47781244278,102162.91645405244,281.8284132219851,292.5688073734939,303.53238600142754,13.722358796344553,13.686995833336065,13.688688350340104,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/9/2019,21.0491,105.8831,17.66202917,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,2.086113936750067e-05,2.086113936751399e-05,2.0861139367493873e-05,13.009180280884417,13.025654792799614,13.029721766104446,4.365645832498558,4.39296184540377,4.439434946806892,76.68784077951892,76.58883728027344,76.49247897401148,102166.18402777778,102162.47781244278,102162.91645405244,264.3482326925215,266.4586547849327,269.8010652500908,8.908413194482112,8.910328750004993,8.888356505116278,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
1/10/2019,21.0491,105.8831,22.33865417,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.261039674282074,0.2611299651861191,0.26688600863729206,1.920443173397679e-05,1.920443173397679e-05,1.9204431733983587e-05,16.199150297376846,16.21666389465332,16.21514456613436,2.7938982115916184,2.824881868365919,2.843377955109404,76.68784077951892,76.58883728027344,76.49247897401148,101849.92013904784,101846.1406250763,101846.93845667157,182.55034891805715,176.01143859863282,172.80107428103076,8.908413194482112,8.910328750004993,8.888356505116278,3058.0124104813567,2518.3688330078126,2177.3531307293747,65.648988087972,75.06468462399964,74.03614928215838
